Id,Year,Variety,Owner,IdOwnerVarietyYear,Species,Country,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Color,AltitudeLowMeters,AltitudeHighMeters,AltitudeMeanMeters
644,2014,,Dane Loraas,"644, Dane Loraas, 2014",Arabica,Mexico,veracruz,7.58,7.58,7.42,7.75,7.67,7.67,9.33,10,10,7.58,82.58,Green,,,
645,2012,,Brent Hall,"645, Brent Hall, 2012",Arabica,Guatemala,,7.5,7.58,7.42,7.58,7.42,7.58,10,10,10,7.5,82.58,Blue-Green,,,
646,2013,Caturra,Exportadora De Cafe Condor S.A,"646, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.75,7.25,7.33,7.42,7.5,7.83,10,10,10,7.5,82.58,Blue-Green,1750,1750,1750
647,2012,Caturra,Exportadora De Cafe Condor S.A,"647, Exportadora De Cafe Condor S.A, 2012, Caturra",Arabica,Colombia,huila,7.75,7.5,7.75,7.25,7.33,7.58,10,10,10,7.42,82.58,,1750,1750,1750
648,2013,Caturra,Exportadora De Cafe Condor S.A,"648, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.58,7.5,7.42,7.58,7.67,7.42,10,10,10,7.42,82.58,Green,1750,1750,1750
649,2012,Typica,Guillermo Rojas Saldana,"649, Guillermo Rojas Saldana, 2012, Typica",Arabica,Mexico,oaxaca,7.5,7.58,7.5,7.5,7.42,7.5,10,10,10,7.58,82.58,Green,1250,1250,1250
650,2012,Typica,Organizaciones De Productores De Cafe Colimense,"650, Organizaciones De Productores De Cafe Colimense, 2012, Typica",Arabica,Mexico,colima,7.67,7.58,7.58,7.75,7.67,6.83,10,10,10,7.5,82.58,Green,1150,1150,1150
651,2012,Caturra,Racafe & Cia S.C.A,"651, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.33,7.42,7.58,7.42,7.67,7.5,10,10,10,7.67,82.58,Green,1600,1950,1775
652,2011,Mundo Novo,Nucoffee,"652, Nucoffee, 2011, Mundo Novo",Arabica,Brazil,south of minas,7.58,7.5,7.33,7.75,7.5,7.5,10,10,10,7.42,82.58,,900,1050,975
653,2017,Bourbon,Ipanema Coffees,"653, Ipanema Coffees, 2017, Bourbon",Arabica,Brazil,south of minas,7.5,7.5,7.5,7.5,7.58,7.5,10,10,10,7.42,82.5,Green,890,890,890
654,2017,Other,Sanjava Coffee,"654, Sanjava Coffee, 2017, Other",Arabica,Indonesia,bali,7.83,7.75,7.25,7.5,7.42,7.33,10,10,10,7.42,82.5,Green,1250,1250,1250
655,2017,Caturra,Elsy Reyes,"655, Elsy Reyes, 2017, Caturra",Arabica,Honduras,comayagua,7.58,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.5,Green,1400,1400,1400
656,2016,Bourbon,Juan Luis Alvarado Romero,"656, Juan Luis Alvarado Romero, 2016, Bourbon",Arabica,Guatemala,oriente,7.5,7.5,7.33,7.5,7.67,7.5,10,10,10,7.5,82.5,Green,371.61216,371.61216,371.61216
657,2014,,Doi Tung Development Project,"657, Doi Tung Development Project, 2014",Arabica,Thailand,thailand,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10,10,7.83,82.5,Green,800,800,800
658,2014,Caturra,∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa,"658, ∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa, 2014, Caturra",Arabica,Thailand,chiangrai,7.33,7.5,7.5,7.5,7.67,7.5,10,10,10,7.5,82.5,,1400,1500,1450
659,2014,Other,Shah Plantations,"659, Shah Plantations, 2014, Other",Arabica,Tanzania,karatu arusha,7.67,7.42,7.33,7.58,7.5,7.5,10,10,10,7.5,82.5,Green,1600,1600,1600
660,2014,Other,Amkeni Gourmet Coffee Group,"660, Amkeni Gourmet Coffee Group, 2014, Other",Arabica,Tanzania,moshi,7.75,7,7.42,7.58,7.58,7.58,10,10,10,7.58,82.5,Bluish-Green,,,
661,2013,Other,Lusso Lab,"661, Lusso Lab, 2013, Other",Arabica,Mexico,chiapas,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,82.5,Green,1500,1700,1600
662,2013,Yellow Bourbon,Ipanema Coffees,"662, Ipanema Coffees, 2013, Yellow Bourbon",Arabica,Brazil,south of minas,7.42,7.5,7.67,7.33,7.42,7.67,10,10,10,7.5,82.5,Bluish-Green,1260,1260,1260
663,2013,Bourbon,Juan Luis Alvarado Romero,"663, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.83,7.42,7.33,7.67,7.42,7.5,10,10,10,7.33,82.5,Green,399.483072,399.483072,399.483072
664,2013,Caturra,Exportadora De Cafe Condor S.A,"664, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.5,7.5,7.42,7.42,7.58,7.58,10,10,10,7.5,82.5,Green,1750,1750,1750
665,2013,Bourbon,Juan Luis Alvarado Romero,"665, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5,Green,399.483072,399.483072,399.483072
666,2012,Typica,Saul M. Hernandez Ramirez,"666, Saul M. Hernandez Ramirez, 2012, Typica",Arabica,Mexico,san bartolo tutotepec,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5,None,1679,1679,1679
667,2012,Typica,Enrique Mitre Lopez,"667, Enrique Mitre Lopez, 2012, Typica",Arabica,Mexico,zapotitlan de mendez,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5,Green,1100,1100,1100
668,2012,Typica,Enrique Eduardo Lopez Aguilar,"668, Enrique Eduardo Lopez Aguilar, 2012, Typica",Arabica,Mexico,la concordia,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5,,1650,1650,1650
669,2012,Caturra,Juan Luis Alvarado Romero,"669, Juan Luis Alvarado Romero, 2012, Caturra",Arabica,Guatemala,oriente,7.67,7.33,7.33,7.33,7.5,7.83,10,10,10,7.5,82.5,Green,,,
670,2012,Bourbon,Jacques Pereira Carneiro,"670, Jacques Pereira Carneiro, 2012, Bourbon",Arabica,Brazil,carmo de minas,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,Blue-Green,1250,1250,1250
671,2012,Caturra,Racafe & Cia S.C.A,"671, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5,Green,1600,1950,1775
672,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"672, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.33,7.42,7.33,7.75,7.42,7.67,10,10,10,7.58,82.5,Green,,,
673,,,Adam Kline,"673, Adam Kline",Arabica,Guatemala,huehuetenango,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10,10,7.33,82.5,,1600,1600,1600
674,2017,Other,Brian Beck,"674, Brian Beck, 2017, Other",Arabica,Honduras,"comayagua, honduras",7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42,Green,1500,1500,1500
675,2017,Bourbon,Juan Luis Alvarado Romero,"675, Juan Luis Alvarado Romero, 2017, Bourbon",Arabica,Guatemala,san marcos,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,Green,1700,1700,1700
676,2016,Bourbon,Juan Luis Alvarado Romero,"676, Juan Luis Alvarado Romero, 2016, Bourbon",Arabica,Guatemala,san marcos,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42,Green,1700,1700,1700
677,2017,Bourbon,Juan Luis Alvarado Romero,"677, Juan Luis Alvarado Romero, 2017, Bourbon",Arabica,Guatemala,el progreso,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42,Green,48.12377472,48.12377472,48.12377472
678,2017,Caturra,Juan Luis Alvarado Romero,"678, Juan Luis Alvarado Romero, 2017, Caturra",Arabica,Guatemala,santa rosa,7.5,7.42,7.08,7.75,7.67,7.5,10,10,10,7.5,82.42,Green,,,
679,2016,Caturra,Racafe & Cia S.C.A,"679, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,guayata,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,82.42,Green,1600,1600,1600
680,2015,Catimor,Yunnan Coffee Exchange,"680, Yunnan Coffee Exchange, 2015, Catimor",Arabica,China,yunnan,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,Green,1600,1600,1600
681,2016,,Bourbon Specialty Coffees,"681, Bourbon Specialty Coffees, 2016",Arabica,Brazil,campos altos - cerrado,7.42,7.5,7.33,7.5,7.25,7.42,10,10,10,8,82.42,Green,,,
682,2015,Ruiru 11,Gladness Obed Pallangyo,"682, Gladness Obed Pallangyo, 2015, Ruiru 11",Arabica,Tanzania,arusha meru,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,82.42,Green,2285,2285,2285
683,2015,Yellow Bourbon,Ipanema Coffees,"683, Ipanema Coffees, 2015, Yellow Bourbon",Arabica,Brazil,south of minas,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,Green,1,1,1
684,2013,Caturra,The Coffee Source Inc.,"684, The Coffee Source Inc., 2013, Caturra",Arabica,Guatemala,atitlan,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42,Green,1400,1400,1400
685,2014,Typica,Productos Y Servicios Chilindron S.A. De C.V.,"685, Productos Y Servicios Chilindron S.A. De C.V., 2014, Typica",Arabica,Mexico,la yerba,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42,Green,1296,1296,1296
686,2012,Catuai,Nucoffee,"686, Nucoffee, 2012, Catuai",Arabica,Brazil,south of minas,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,Blue-Green,1000,1000,1000
687,2013,,Dane Loraas,"687, Dane Loraas, 2013",Arabica,Peru,peru,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10,10,7.5,82.42,Green,,,
688,2013,Yellow Bourbon,Ipanema Coffees,"688, Ipanema Coffees, 2013, Yellow Bourbon",Arabica,Brazil,south of minas,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42,Green,1260,1260,1260
689,2013,Bourbon,Manuel Herrera Juarez,"689, Manuel Herrera Juarez, 2013, Bourbon",Arabica,Mexico,veracruz,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42,Green,1170,1170,1170
690,2012,,Brent Hall,"690, Brent Hall, 2012",Arabica,Honduras,,7.25,7.67,7.42,7.17,7.75,7.5,10,10,10,7.67,82.42,None,,,
691,2013,Caturra,Racafe & Cia S.C.A,"691, Racafe & Cia S.C.A, 2013, Caturra",Arabica,Colombia,huila,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42,Green,1600,1950,1775
692,2013,Typica,Nestor Mendez Gomez,"692, Nestor Mendez Gomez, 2013, Typica",Arabica,Mexico,chiapas,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42,Green,1560,1560,1560
693,2012,Typica,Jesus Salazar Velasco,"693, Jesus Salazar Velasco, 2012, Typica",Arabica,Mexico,san pedro cotzilnam,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,Green,1400,1400,1400
694,2012,Typica,"El Equimite, Cafetal Biodin„°Mico","694, El Equimite, Cafetal Biodin„°Mico, 2012, Typica",Arabica,Mexico,coatepec,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,Green,1300,1300,1300
695,2012,Caturra,Manuel Herrera Juarez,"695, Manuel Herrera Juarez, 2012, Caturra",Arabica,Mexico,xalapa,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,Green,1170,1170,1170
696,2012,Typica,Dario Cesar Galeana Sanchez,"696, Dario Cesar Galeana Sanchez, 2012, Typica",Arabica,Mexico,zihuatanejo de azueta,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,Green,1300,1300,1300
697,2012,Pacamara,Jose Daniel Cobilt Castro,"697, Jose Daniel Cobilt Castro, 2012, Pacamara",Arabica,Mexico,veracruz,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,Green,1350,1350,1350
698,2012,Caturra,Alvaro Quiros Perez,"698, Alvaro Quiros Perez, 2012, Caturra",Arabica,Mexico,xicotepec de juarez,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,Green,1150,1150,1150
699,2012,Bourbon,Olivia Hernandez Virves,"699, Olivia Hernandez Virves, 2012, Bourbon",Arabica,Mexico,progreso santa rosa teocelo,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,,1250,1250,1250
700,2012,Typica,Finca Las Nieves,"700, Finca Las Nieves, 2012, Typica",Arabica,Mexico,fln mirador,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,Bluish-Green,1450,1450,1450
701,2012,Caturra,Carcafe Ltda Ci,"701, Carcafe Ltda Ci, 2012, Caturra",Arabica,Colombia,huila,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,,442,442,442
702,2012,Arusha,Nucoffee,"702, Nucoffee, 2012, Arusha",Arabica,Brazil,south of minas,7.75,7.5,7.42,7.42,7.5,7.42,10,10,10,7.42,82.42,Blue-Green,,,
703,2011,Caturra,Exportadora De Cafe Condor S.A,"703, Exportadora De Cafe Condor S.A, 2011, Caturra",Arabica,Colombia,huila,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42,Green,1750,1750,1750
704,2011,,Exportadora De Cafe Condor S.A,"704, Exportadora De Cafe Condor S.A, 2011",Arabica,Colombia,huila,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42,,1750,1750,1750
705,2017,Caturra,Bismarck Castro,"705, Bismarck Castro, 2017, Caturra",Arabica,Honduras,comayagua,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,Green,1396,1396,1396
706,2016,Catuai,Pedro Santos E Silva,"706, Pedro Santos E Silva, 2016, Catuai",Arabica,Brazil,cerrado,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,Green,982,982,982
707,2016,,Gabriel Barbara,"707, Gabriel Barbara, 2016",Arabica,Brazil,cerrado,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33,Green,,,
708,2016,Bourbon,Ipanema Coffees,"708, Ipanema Coffees, 2016, Bourbon",Arabica,Brazil,south of minas,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,Bluish-Green,934,934,934
709,2015,Caturra,"Ceca, S.A.","709, Ceca, S.A., 2015, Caturra",Arabica,Costa Rica,tarrazu,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,Bluish-Green,1850,1850,1850
710,2015,Catuai,Rodrigo Soto,"710, Rodrigo Soto, 2015, Catuai",Arabica,Costa Rica,tarrazu,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,Green,1550,1550,1550
711,2015,Catimor,Yunnan Coffee Exchange,"711, Yunnan Coffee Exchange, 2015, Catimor",Arabica,China,xishuangbanna prefecture,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,Green,1580,1580,1580
712,2015,Bourbon,Ipanema Coffees,"712, Ipanema Coffees, 2015, Bourbon",Arabica,Brazil,south of minas,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,Green,1268,1268,1268
713,2015,Mundo Novo,Bourbon Specialty Coffees,"713, Bourbon Specialty Coffees, 2015, Mundo Novo",Arabica,Brazil,chapad√£o de ferro (cerrado mineiro),7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33,Green,,,
714,2015,Bourbon,Juan Luis Alvarado Romero,"714, Juan Luis Alvarado Romero, 2015, Bourbon",Arabica,Guatemala,huehuetenango,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,Green,510.96672,510.96672,510.96672
715,2014,Gesha,Afca,"715, Afca, 2014, Gesha",Arabica,Malawi,mzuzu,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,Green,1450,1450,1450
716,2014,Bourbon,Ipanema Coffees,"716, Ipanema Coffees, 2014, Bourbon",Arabica,Brazil,south of minas,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,Blue-Green,1100,1100,1100
717,2014,Pacas,Juan Luis Alvarado Romero,"717, Juan Luis Alvarado Romero, 2014, Pacas",Arabica,Guatemala,jalapa,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,Green,464.5152,464.5152,464.5152
718,2014,,Dane Loraas,"718, Dane Loraas, 2014",Arabica,Mexico,veracruz,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,82.33,Green,,,
719,2013,Caturra,The Coffee Source Inc.,"719, The Coffee Source Inc., 2013, Caturra",Arabica,Colombia,antioquia,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,Green,1300,1300,1300
720,2013,Typica,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"720, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2013, Typica",Arabica,Taiwan,changhua baguashan ÂΩ∞ÂåñÂ∏ÇÂÖ´Âç¶Â±±,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,Green,200,200,200
721,2013,Typica,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"721, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2013, Typica",Arabica,Taiwan,taichung xinshe Âè∞‰∏≠Â∏ÇÊñ∞Á§æÂçÄ,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,Green,600,600,600
722,2013,Bourbon,Juan Luis Alvarado Romero,"722, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,oriente,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,Green,399.483072,399.483072,399.483072
723,2013,Caturra,Exportadora De Cafe Condor S.A,"723, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,Green,1750,1750,1750
724,2013,Typica,Alfredo Bojalil,"724, Alfredo Bojalil, 2013, Typica",Arabica,Mexico,"la concordia, chiapas",7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,Green,1300,1300,1300
725,2012,,Michael Gavina,"725, Michael Gavina, 2012",Arabica,Costa Rica,central valley,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,82.33,Green,,,
726,2012,Bourbon,Juan Luis Alvarado Romero,"726, Juan Luis Alvarado Romero, 2012, Bourbon",Arabica,Guatemala,jalapa,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,Green,510.96672,557.41824,534.19248
727,2012,Typica,Saul M. Hernandez Ramirez,"727, Saul M. Hernandez Ramirez, 2012, Typica",Arabica,Mexico,"jaltocan, hidalgo",7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,None,441,441,441
728,2012,Bourbon,Manuel Herrera Juarez,"728, Manuel Herrera Juarez, 2012, Bourbon",Arabica,Mexico,veracruz,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,Green,1170,1170,1170
729,2012,Bourbon,Juan Luis Alvarado Romero,"729, Juan Luis Alvarado Romero, 2012, Bourbon",Arabica,Guatemala,oriente,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,Green,399.483072,399.483072,399.483072
730,2012,Mundo Novo,Nucoffee,"730, Nucoffee, 2012, Mundo Novo",Arabica,Brazil,grama valley,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,Green,1100,1100,1100
731,2012,Typica,Maria Luisa Del Carmen Rojas Narvaez,"731, Maria Luisa Del Carmen Rojas Narvaez, 2012, Typica",Arabica,Mexico,santa catarina juquila,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,Green,1200,1400,1300
732,2012,Mundo Novo,Nucoffee,"732, Nucoffee, 2012, Mundo Novo",Arabica,Brazil,south of minas,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,Green,950,950,950
733,2012,Caturra,Carcafe Ltda Ci,"733, Carcafe Ltda Ci, 2012, Caturra",Arabica,Colombia,huila,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,Green,442,442,442
734,,Catuai,Klem Organics,"734, Klem Organics, Catuai",Arabica,Brazil,brazil matas de minas,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,Green,1100,1100,1100
735,2016,,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"735, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2016",Arabica,Taiwan,,7,7.08,7,7.17,7,7,10,10,10,10,82.25,Blue-Green,,,
736,2016,Pacas,Juan Luis Alvarado Romero,"736, Juan Luis Alvarado Romero, 2016, Pacas",Arabica,Guatemala,nuevo oriente,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,Green,1450,1450,1450
737,2015,Yellow Bourbon,Ipanema Coffees,"737, Ipanema Coffees, 2015, Yellow Bourbon",Arabica,Brazil,south of minas,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,Green,1,1,1
738,2014,Bourbon,Consejo Salvadore„±O Del Caf„©,"738, Consejo Salvadore„±O Del Caf„©, 2014, Bourbon",Arabica,El Salvador,apaneca,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,Green,1500,1500,1500
739,2015,Catuai,Cadexsa,"739, Cadexsa, 2015, Catuai",Arabica,Honduras,marcala,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25,Green,1350,1350,1350
740,2014,Gesha,Afca,"740, Afca, 2014, Gesha",Arabica,Malawi,mzuzu,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82.25,Blue-Green,1180,1180,1180
741,2014,Bourbon,Ipanema Coffees,"741, Ipanema Coffees, 2014, Bourbon",Arabica,Brazil,south of minas,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,Green,1100,1100,1100
742,2013,Typica,Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥,"742, Cqi Taiwan Icp CqiÂè∞«Å£≈êàƒΩåÂ§•ƒº¥, 2013, Typica",Arabica,Taiwan,nantou,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82.25,Green,650,650,650
743,2013,Mundo Novo,Jesus Carlos Cardenas Valdivia,"743, Jesus Carlos Cardenas Valdivia, 2013, Mundo Novo",Arabica,Mexico,veracruz,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25,Blue-Green,1338,1338,1338
744,2013,Hawaiian Kona,Kona Pacific Farmers Cooperative,"744, Kona Pacific Farmers Cooperative, 2013, Hawaiian Kona",Arabica,United States,kona,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,82.25,Bluish-Green,,,
745,2012,Bourbon,Saul M. Hernandez Ramirez,"745, Saul M. Hernandez Ramirez, 2012, Bourbon",Arabica,Mexico,"calnali, hidalgo",7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25,None,533,533,533
746,2012,Bourbon,Juan Luis Alvarado Romero,"746, Juan Luis Alvarado Romero, 2012, Bourbon",Arabica,Guatemala,antigua,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25,Green,423.9165715,423.9165715,423.9165715
747,2012,Bourbon,Manuel Herrera Juarez,"747, Manuel Herrera Juarez, 2012, Bourbon",Arabica,Mexico,veracruz,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25,Green,1170,1170,1170
748,2012,Typica,Guillermo Rojas Saldana,"748, Guillermo Rojas Saldana, 2012, Typica",Arabica,Mexico,juquila,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82.25,Green,1250,1250,1250
749,2012,Other,Adam Kline,"749, Adam Kline, 2012, Other",Arabica,El Salvador,,7.75,7.33,7.33,7.5,7.5,7.5,10,10,10,7.33,82.25,Green,,,
750,2012,Typica,Sergio De La Vequia Bernardi,"750, Sergio De La Vequia Bernardi, 2012, Typica",Arabica,Mexico,veracruz,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82.25,Green,1100,1100,1100
751,2012,Typica,Organizaciones De Productores De Cafe Colimense,"751, Organizaciones De Productores De Cafe Colimense, 2012, Typica",Arabica,Mexico,canoas,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82.25,Green,900,900,900
752,2012,Caturra,Exportadora De Cafe Condor S.A,"752, Exportadora De Cafe Condor S.A, 2012, Caturra",Arabica,Colombia,huila,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25,Green,1750,1750,1750
753,2012,Caturra,Racafe & Cia S.C.A,"753, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82.25,Green,1600,1950,1775
754,2012,Arusha,Nucoffee,"754, Nucoffee, 2012, Arusha",Arabica,Brazil,,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82.25,Green,,,
755,,,Racafe & Cia S.C.A,"755, Racafe & Cia S.C.A",Arabica,Colombia,cauca,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,7.75,82.25,,,,
756,2016,Bourbon,Ipanema Coffees,"756, Ipanema Coffees, 2016, Bourbon",Arabica,Brazil,south of minas,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17,Green,934,934,934
757,2015,Caturra,Bismarck Castro,"757, Bismarck Castro, 2015, Caturra",Arabica,Honduras,comayagua,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82.17,Bluish-Green,1500,1500,1500
758,,,"Bencafe, S. A.","758, Bencafe, S. A.",Arabica,Nicaragua,jinotega,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,Green,1000,1000,1000
759,2015,Bourbon,Langiro Farm Group,"759, Langiro Farm Group, 2015, Bourbon",Arabica,Tanzania,ruvuma,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82.17,Green,1500,1800,1650
760,2015,Other,Ibero Coffee Trading Co (T) Ltd,"760, Ibero Coffee Trading Co (T) Ltd, 2015, Other",Arabica,Tanzania,northern,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82.17,Green,1600,1600,1600
761,2015,Yellow Bourbon,Ipanema Coffees,"761, Ipanema Coffees, 2015, Yellow Bourbon",Arabica,Brazil,south of minas,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,Green,1,1,1
762,2014,,Doi Tung Development Project,"762, Doi Tung Development Project, 2014",Arabica,Thailand,thailand,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82.17,Bluish-Green,800,800,800
763,2015,Catuai,Cadexsa,"763, Cadexsa, 2015, Catuai",Arabica,Honduras,marcala,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82.17,Green,1350,1350,1350
